kernel,profile_file,function,hits,total_us,avg_us
v6.19.9-preempt,function0,__x64_sys_migrate_pages,3,2533428.0,844476.0
v6.19.9-preempt,function0,do_migrate_pages,3,2533069.0,844356.6
v6.19.9-preempt,function0,migrate_pages,3,2481951.0,827317.1
v6.19.9-preempt,function0,migrate_pages_batch,25,2480788.0,99231.54
v6.19.9-preempt,function0,move_to_new_folio,12479,2094233.0,167.82
v6.19.9-preempt,function0,folio_mc_copy,12479,2015208.0,161.487
v6.19.9-preempt,function0,copy_mc_to_kernel,12491,1985678.0,158.968
v6.19.9-preempt,function0,rmap_walk,24958,229718.3,9.204
v6.19.9-preempt,function0,try_to_migrate,12479,180192.5,14.439
v6.19.9-preempt,function0,folio_remove_rmap_ptes,25151,60266.85,2.396
v6.19.9-preempt,function0,queue_pages_range,6,50600.59,8433.432
v6.19.9-preempt,function0,queue_folios_pte_range,51,48931.22,959.435
v6.19.9-preempt,function0,remove_migration_pte,12480,44098.25,3.533
v6.19.9-preempt,function0,migrate_folio_done,12479,34712.03,2.781
v6.19.9-preempt,function0,migrate_folio_add,12480,33454.84,2.68
v6.19.9-preempt,function0,__folio_migrate_mapping,12479,24298.68,1.947
v6.19.9-preempt,function0,migrate_folio,167,3860.772,23.118
v7.0.9-preempt,function0,__x64_sys_migrate_pages,3,2579882.0,859960.7
v7.0.9-preempt,function0,do_migrate_pages,3,2560060.0,853353.5
v7.0.9-preempt,function0,migrate_pages,3,2505347.0,835115.7
v7.0.9-preempt,function0,migrate_pages_batch,25,2504152.0,100166.1
v7.0.9-preempt,function0,move_to_new_folio,12481,2136649.0,171.192
v7.0.9-preempt,function0,folio_mc_copy,12481,2056756.0,164.79
v7.0.9-preempt,function0,copy_mc_to_kernel,12494,2021351.0,161.785
v7.0.9-preempt,function0,rmap_walk,24962,198825.5,7.965
v7.0.9-preempt,function0,try_to_migrate,12481,146080.6,11.704
v7.0.9-preempt,function0,folio_remove_rmap_ptes,25157,66014.92,2.624
v7.0.9-preempt,function0,queue_pages_range,6,54029.22,9004.87
v7.0.9-preempt,function0,queue_folios_pte_range,51,52398.11,1027.413
v7.0.9-preempt,function0,remove_migration_pte,12482,45515.17,3.646
v7.0.9-preempt,function0,migrate_folio_add,12482,36906.31,2.956
v7.0.9-preempt,function0,migrate_folio_done,12481,36325.82,2.91
v7.0.9-preempt,function0,__folio_migrate_mapping,12481,25070.33,2.008
v7.0.9-preempt,function0,migrate_folio,167,3685.903,22.071
