kernel,profile_file,function,hits,total_us,avg_us
v6.19.9-preempt,function0,__x64_sys_migrate_pages,3,486901.1,162300.3
v6.19.9-preempt,function0,do_migrate_pages,3,486575.9,162191.9
v6.19.9-preempt,function0,migrate_pages,3,431886.3,143962.1
v6.19.9-preempt,function0,migrate_pages_batch,25,430883.7,17235.35
v6.19.9-preempt,function0,move_to_new_folio,12481,163125.9,13.069
v6.19.9-preempt,function0,queue_pages_range,6,55537.26,9256.21
v6.19.9-preempt,function0,queue_folios_pte_range,51,52399.74,1027.445
v6.19.9-preempt,function0,remove_migration_pte,12482,48897.3,3.917
v6.19.9-preempt,function0,alloc_migration_target,12481,38689.91,3.099
v6.19.9-preempt,function0,migrate_folio_done,12481,37259.84,2.985
v6.19.9-preempt,function0,migrate_folio_add,12482,35254.64,2.824
v6.19.9-preempt,function0,__folio_migrate_mapping,12481,29093.91,2.331
v6.19.9-preempt,function0,folio_migrate_flags,12481,28997.84,2.323
v6.19.9-preempt,function0,do_pages_stat,3,9368.647,3122.882
v6.19.9-preempt,function0,migrate_folio,167,3506.788,20.998
v6.19.9-preempt,function0,queue_pages_test_walk,39,559.155,14.337
v7.0.9-preempt,function0,__x64_sys_migrate_pages,3,696555.4,232185.1
v7.0.9-preempt,function0,do_migrate_pages,3,696240.9,232080.3
v7.0.9-preempt,function0,migrate_pages,3,642779.1,214259.7
v7.0.9-preempt,function0,migrate_pages_batch,25,641784.8,25671.39
v7.0.9-preempt,function0,move_to_new_folio,12480,398683.6,31.945
v7.0.9-preempt,function0,queue_pages_range,6,54552.45,9092.076
v7.0.9-preempt,function0,queue_folios_pte_range,51,51309.9,1006.076
v7.0.9-preempt,function0,remove_migration_pte,12481,45318.85,3.631
v7.0.9-preempt,function0,alloc_migration_target,12480,35799.07,2.868
v7.0.9-preempt,function0,migrate_folio_add,12481,35382.65,2.834
v7.0.9-preempt,function0,migrate_folio_done,12480,33735.47,2.703
v7.0.9-preempt,function0,folio_migrate_flags,12480,25335.87,2.03
v7.0.9-preempt,function0,__folio_migrate_mapping,12480,25171.98,2.016
v7.0.9-preempt,function0,do_pages_stat,3,9276.577,3092.192
v7.0.9-preempt,function0,migrate_folio,167,3086.098,18.479
v7.0.9-preempt,function0,queue_pages_test_walk,39,520.275,13.34
