profile,source_file,entry_profile,test_kind,version_family,exact_version,subject_kind,subject,function,function_name,function_start_line,total_runs,hit_runs,covered_any,covered_all,mean_hits,max_hits
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,__add_folio_for_migration@2254,__add_folio_for_migration,2254,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,__buffer_migrate_folio@934,__buffer_migrate_folio,934,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,__folio_migrate_mapping@571,__folio_migrate_mapping,571,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,__migrate_folio@855,__migrate_folio,855,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,__migrate_folio_extract@1148,__migrate_folio_extract,1148,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,__migrate_folio_record@1141,__migrate_folio_record,1141,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,add_folio_for_migration@2291,add_folio_for_migration,2291,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,alloc_migration_target@2186,alloc_migration_target,2186,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,buffer_migrate_folio@1020,buffer_migrate_folio,1020,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,buffer_migrate_folio_norefs@1041,buffer_migrate_folio_norefs,1041,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,buffer_migrate_lock_buffers@902,buffer_migrate_lock_buffers,902,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,do_move_pages_to_node@2238,do_move_pages_to_node,2238,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,do_pages_move@2348,do_pages_move,2348,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,do_pages_stat@2509,do_pages_stat,2509,1,1,yes,yes,1,1
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,do_pages_stat_array@2447,do_pages_stat_array,2447,1,1,yes,yes,256,256
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,fallback_migrate_folio@1059,fallback_migrate_folio,1059,1,0,no,no,0,0
